direct id,prog_name,source,covered_drugs.name,covered_drugs.generic,standerdised_drug,standerdised_program,existing or new,id
683eafba658efbd7a8fc53c6,Metastatic Colorectal Cancer,gooddays,5-Flourouracil,,5-flourouracil,,,
683eb07337b86bfd7218a0c2,Dupuytren's Disease,healthwell,5-fluorouracil,,5-fluorouracil,dupuytren's disease fund,,5654
683eb07337b86bfd7218a0e8,Pancreatic Cancer - Medicare Access,healthwell,5-fluorouracil,,5-fluorouracil,pancreatic cancer - medicare access fund,,5690
683eb07337b86bfd7218a0b2,Cancer-Related Behavioral Health,healthwell,5-hydroxytryptophan,,5-hydroxytryptophan,cancer-related behavioral health fund,,5639
683eb07337b86bfd7218a0c3,Emergency/Medical Workers Behavioral Health Fund,healthwell,5-hydroxytryptophan,,5-hydroxytryptophan,,,
683eb07337b86bfd7218a0e6,Oncology Caregiver Behavioral Health Fund,healthwell,5-hydroxytryptophan,,5-hydroxytryptophan,,,
683eb07337b86bfd7218a0f2,Schizophrenia - Medicare Access,healthwell,5-mthf,,5-mthf,schizophrenia - medicare access fund,,5699
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,7t Gummy Es,,7t gummy es,pediatric assistance fund,,5691
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,8 HOUR ACETAMINOPHEN,acetaminophen,8 hour acetaminophen,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,8 HOUR PAIN RELIEF,acetaminophen,8 hour pain relief,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,8HR ARTHRITIS PAIN,acetaminophen,8hr arthritis pain,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,8HR ARTHRITIS PAIN RELIEF,acetaminophen,8hr arthritis pain relief,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,8HR MUSCLE ACHES-PAIN,acetaminophen,8hr muscle aches-pain,,,
683eafba658efbd7a8fc53bc,"HIV, AIDS Treatment & Prevention",gooddays,Abacavir,,abacavir,"hiv, aids treatment & prevention fund",,5749
683eb35152f4d71ca049b10e,HIV Treatment and Prevention,PAN,ABACAVIR,abacavir sulfate,abacavir,hiv treatment and prevention fund,,5775
