ID,UUID,Name,Active,Associated SourceDrugs Count,Associated SourceDrugs,Associated Programs Count,Associated Programs,Created At,Updated At
1,d4dce96f-1bb6-4c23-b4d4-13db9c410484,abecma,true,7,abecma; abecma injection; iv; abecma; abecma; abecma; abecma; abecma,6,Cell Therapy 360; Cell Therapy 360; multiple myeloma - medicare access fund; multiple myeloma fund; multiple myeloma health equity fund; cell therapy 360,2024-08-21 09:11:16,2025-03-09 11:26:59
2,8c337fce-8e32-4d8d-8d18-0f80f4ca6b4e,abilify,true,6,abilify; abilify tablet; abilify; abilify; abilify; abilify,24,Rx Outreach Medications; Abilify tablet Copay Card Download; cancer-related behavioral health fund; emergency/medical workers behavioral health fund fund; movement disorders - medicare access fund; neurocognitive disease with psychosis - medicare access fund; oncology caregiver behavioral health fund fund; pediatric assistance fund; schizophrenia - medicare access fund; cancer fund; cancer genetic and genomic testing health equity fund; schizophrenia fund; abilify maintena savings card; abilify mycite instant copay program; abilify mycite medicare low income subsidy; abilify savings card; otsuka patient assistance foundation (opaf) patient assistance program; rx outreach medications; abilify maintena savings card; abilify mycite instant copay program; abilify mycite medicare low income subsidy; abilify savings card; n/a; n/a,2024-08-21 09:11:16,2025-03-16 07:31:09
3,2275702a-bcdd-4656-a0ae-8254f3cde008,abilify asimtufii,true,4,abilify asimtufii; abilify asimtufii; abilify asimtufii; abilify asimtufii,4,Otsuka Patient Assistance Foundation - Abilify Asimtufii; pediatric assistance fund; schizophrenia fund; otsuka patient assistance foundation (opaf) patient assistance program,2024-08-21 09:11:16,2025-03-09 11:26:59
4,2e8fa360-f8cc-4752-8ef7-6e5d623f276c,abilify asimtufii extended-release,true,1,abilify asimtufii extended-release injectable suspension,1,Otsuka Patient Assistance Foundation (OPAF) Patient Assistance Program,2024-08-21 09:11:16,2025-03-16 07:31:09
5,e5f1245b-5481-49df-be8f-356bad467541,abilify discmelt,true,3,abilify discmelt tablet; orally disintegrating; abilify discmelt; abilify discmelt,6,cancer-related behavioral health fund; emergency/medical workers behavioral health fund fund; neurocognitive disease with psychosis - medicare access fund; oncology caregiver behavioral health fund fund; cancer fund; cancer genetic and genomic testing health equity fund,2024-08-21 09:11:16,2025-03-09 11:26:59
6,596042a9-f7b0-48da-8dbe-6e5e8f25fae8,abilify maintena,true,7,abilify maintena injection; extended-release; abilify maintena injection; abilify maintena; abilify maintena vial; abilify maintena; abilify maintena; abilify maintena,14,Otsuka Patient Assistance Foundation (OPAF) Patient Assistance Program; Abilify Maintena injection; extended-release Copay Card Download; Abilify Maintena injection; extended-release Free Sample Offer; Otsuka Patient Assistance Foundation; cancer-related behavioral health fund; emergency/medical workers behavioral health fund fund; movement disorders - medicare access fund; neurocognitive disease with psychosis - medicare access fund; oncology caregiver behavioral health fund fund; pediatric assistance fund; cancer fund; cancer genetic and genomic testing health equity fund; schizophrenia fund; otsuka patient assistance foundation (opaf) patient assistance program,2024-08-21 09:11:16,2025-03-09 11:26:59
7,02b2047b-1dd4-46dd-8685-d0277fefa33f,abilify mycite,true,4,abilify mycite tablet; abilify mycite; abilify mycite; abilify mycite,9,Abilify Mycite tablet Discount Program/Point System; Abilify Mycite tablet Copay Card Program; cancer-related behavioral health fund; emergency/medical workers behavioral health fund fund; neurocognitive disease with psychosis - medicare access fund; oncology caregiver behavioral health fund fund; cancer fund; cancer genetic and genomic testing health equity fund; schizophrenia fund,2024-08-21 09:11:16,2025-03-09 11:26:59
8,192adf7e-a244-4f89-a906-d90c55422f9c,abiraterone acetate,true,6,abiraterone acetate tablet; abiraterone acetate; abiraterone acetate; abiraterone acetate; abiraterone acetate; abiraterone acetate,5,Abiraterone Acetate tablet Copay Card Download; Abiraterone Acetate tablet Copay Card Download; prostate cancer fund; prostate cancer - medicare access fund; prostate cancer health equity fund,2024-08-21 09:11:16,2025-03-09 11:26:59
9,56c567db-a3c1-4aa6-b526-41bebaeaeffa,ablysinol,true,3,ablysinol injection; ablysinol; ablysinol,2,cardiomyopathy - medicare access fund; cardiomyopathy fund,2024-08-21 09:11:16,2025-03-09 11:26:59
10,b173a580-e881-4cdd-ab4d-6e0a953b5151,abraxane,true,9,abraxane; abraxane injectable suspension; iv; abraxane; abraxane; abraxane; abraxane; abraxane; abraxane; abraxane,27,BMS Access Support; Bristol Myers Squibb (BMS) Access Support; Abraxane injectable suspension; iv Copay Card Program; breast cancer fund; non-small cell lung cancer (nsclc) fund; pancreatic cancer fund; bladder and urothelial cancer - medicare access fund; breast cancer - medicare access fund; head and neck cancer - medicare access fund; non-small cell lung cancer - medicare access fund; ovarian cancer - medicare access fund; pancreatic cancer - medicare access fund; small cell lung cancer - medicare access fund; bladder cancer fund; breast cancer health equity fund; melanoma fund; metastatic breast cancer fund; non-small cell lung cancers health equity fund; ovarian cancer fund; small cell lung cancer fund; head and neck cancer fund; non-small cell lung cancer fund; basal cell carcinoma fund; biliary tract cancer fund; bristol myers squibb (bms) access support; abraxane bms oncology co-pay assistance program; abraxane bms oncology co-pay assistance program,2024-08-21 09:11:16,2025-03-09 11:26:59
