id,prog_name,source,covered_drugs.name,covered_drugs.generic,standerdised_drug,standerdised_program
683eab51c1adc57577caa64b,Acromegaly Fund,accessia,,,,Acromegaly
683eab51c1adc57577caa64c,Acute Lymphoblastic Leukemia Fund,accessia,,,,Acute Lymphoblastic Leukemia
683eab51c1adc57577caa64d,Alpha Mannosidosis Fund,accessia,,,,Alpha Mannosidosis
683eab51c1adc57577caa64e,Alpha1,accessia,Alpha1-Proteinase Inhibitor,,Alpha1 Proteinase Inhibitor,Alpha1
683eab51c1adc57577caa64e,Alpha1,accessia,Aralast NP,,Aralast,Alpha1
683eab51c1adc57577caa64e,Alpha1,accessia,Glassia,,Glassia,Alpha1
683eab51c1adc57577caa64e,Alpha1,accessia,Prolastin-C,,Prolastin C,Alpha1
683eab51c1adc57577caa64e,Alpha1,accessia,Zemaira,,Zemaira,Alpha1
683eab51c1adc57577caa64f,Alpha1,accessia,Alpha1-Proteinase Inhibitor,,Alpha1 Proteinase Inhibitor,Alpha1
683eab51c1adc57577caa64f,Alpha1,accessia,Aralast NP,,Aralast,Alpha1
683eab51c1adc57577caa64f,Alpha1,accessia,Glassia,,Glassia,Alpha1
683eab51c1adc57577caa64f,Alpha1,accessia,Prolastin-C,,Prolastin C,Alpha1
683eab51c1adc57577caa64f,Alpha1,accessia,Zemaira,,Zemaira,Alpha1
683eab51c1adc57577caa650,Alzheimer's Fund,accessia,,,,Alzheimer'S
683eab51c1adc57577caa651,Amyotrophic Lateral Sclerosis Fund,accessia,,,,Amyotrophic Lateral Sclerosis
683eab51c1adc57577caa652,Asthma,accessia,Cortisone Acetate,,Cortisone Acetate,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Decadron,,Decadron,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Dexabliss,,Dexabliss,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone Intensol,,Dexamethasone Intensol,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone,,Dexamethasone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Dxevo 11-Day,,Dxevo 11 Day,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Hemady,,Hemady,Asthma
683eab51c1adc57577caa652,Asthma,accessia,HiDex 6-Day,,Hidex 6 Day,Asthma
683eab51c1adc57577caa652,Asthma,accessia,TaperDex 12-Day,,Taperdex 12 Day,Asthma
683eab51c1adc57577caa652,Asthma,accessia,TaperDex 6-Day,,Taperdex 6 Day,Asthma
683eab51c1adc57577caa652,Asthma,accessia,TaperDex 7-Day,,Taperdex 7 Day,Asthma
683eab51c1adc57577caa652,Asthma,accessia,ZCORT 7-Day,,Zcort 7 Day,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone,LA,Dexamethasone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone Acetate,,Dexamethasone Acetate,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Active Injection D,,Active Injection D,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Dexameth Sod Phos,PF,Dexameth Sod Phos,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone Sod Phos,PF,Dexamethasone Sod Phos,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone Sod Phos +RFID,,Dexamethasone Sod Phos +Rfid,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone Sod Phosphate PF,,Dexamethasone Sod Phosphate Pf,Asthma
683eab51c1adc57577caa652,Asthma,accessia,dexAMETHasone Sodium Phosphate,,Dexamethasone Sodium Phosphate,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Dexonto 0.4%,,Dexonto 0.4%,Asthma
683eab51c1adc57577caa652,Asthma,accessia,DoubleDex,,Doubledex,Asthma
683eab51c1adc57577caa652,Asthma,accessia,MAS Care-Pak,,Mas Care Pak,Asthma
683eab51c1adc57577caa652,Asthma,accessia,ReadySharp dexAMETHasone,,Readysharp Dexamethasone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,TopiDex,,Topidex,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Alkindi Sprinkle,,Alkindi Sprinkle,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Cortef,,Cortef,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Hydrocortisone,,Hydrocortisone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Khindivi,,Khindivi,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Hydrocortisone Sod Suc,PF,Hydrocortisone Sod Suc,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Solu-CORTEF,,Solu Cortef,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Medrol,,Medrol,Asthma
683eab51c1adc57577caa652,Asthma,accessia,methylPREDNISolone,,Methylprednisolone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,DEPO-Medrol,,Depo Medrol,Asthma
683eab51c1adc57577caa652,Asthma,accessia,methylPREDNISolone Acetate,,Methylprednisolone Acetate,Asthma
683eab51c1adc57577caa652,Asthma,accessia,methylPREDNISolone Na Suc,PF,Methylprednisolone Na Suc,Asthma
683eab51c1adc57577caa652,Asthma,accessia,methylPREDNISolone Sodium Succ,,Methylprednisolone Sodium Succ,Asthma
683eab51c1adc57577caa652,Asthma,accessia,SOLU-Medrol,PF,Solu Medrol,Asthma
683eab51c1adc57577caa652,Asthma,accessia,SOLU-Medrol,,Solu Medrol,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Millipred,,Millipred,Asthma
683eab51c1adc57577caa652,Asthma,accessia,prednisoLONE Anhydrous,,Prednisolone Anhydrous,Asthma
683eab51c1adc57577caa652,Asthma,accessia,prednisoLONE,,Prednisolone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,prednisoLONE Acetate,,Prednisolone Acetate,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Orapred ODT,,Orapred Odt,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Pediapred,,Pediapred,Asthma
683eab51c1adc57577caa652,Asthma,accessia,prednisoLONE Sodium Phosphate,,Prednisolone Sodium Phosphate,Asthma
683eab51c1adc57577caa652,Asthma,accessia,predniSONE Intensol,,Prednisone Intensol,Asthma
683eab51c1adc57577caa652,Asthma,accessia,predniSONE,,Prednisone,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Rayos,,Rayos,Asthma
683eab51c1adc57577caa652,Asthma,accessia,Kenalog-10,,Kenalog 10,Asthma
