ID,Name,Source,Source ID,Generic Name,Company Name,Equivalent,Associated Programs,Associated Drugs Count,Created At,Updated At
1,abecma injection; iv,NEEDY_MEDS,7c5de264-7cc0-7849-ad85-5a29792e23c9,,,idecabtagene vicleucel injection; iv,Cell Therapy 360,1,2024-08-21 09:10:46,2025-03-16 06:58:55
2,abilify,NEEDY_MEDS,266739ea-cb2a-c442-83d0-8140e1b186f5,,,aripiprazole,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
3,abilify asimtufii extended-release injectable suspension,NEEDY_MEDS,94c21efd-60e5-405a-b34b-e9942a53ef4d,,,aripiprazole extended-release injectable suspension,Otsuka Patient Assistance Foundation (OPAF) Patient Assistance Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
4,abilify discmelt tablet; orally disintegrating,NEEDY_MEDS,b9a6cfcb-991d-424b-8f6b-e946ec8dcfec,,,aripiprazole tablet; orally disintegrating,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
5,abilify maintena injection; extended-release,NEEDY_MEDS,f4c471d7-8787-445f-b9b1-2948e96ffd26,,,aripiprazole injection; extended-release,Otsuka Patient Assistance Foundation (OPAF) Patient Assistance Program; Abilify Maintena injection; extended-release Copay Card Download; Abilify Maintena injection; extended-release Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
6,abilify mycite tablet,NEEDY_MEDS,a380326e-0d91-204b-9cff-6ba146386a13,,,aripiprazole tablet,Abilify Mycite tablet Discount Program/Point System; Abilify Mycite tablet Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
7,abilify tablet,NEEDY_MEDS,fa727d84-6000-4c7c-b3e1-cef139f93825,,,aripiprazole tablet,Abilify tablet Copay Card Download,1,2024-08-21 09:10:46,2025-03-16 06:58:55
8,abiraterone acetate tablet,NEEDY_MEDS,aee7c9ef-404b-a84a-9f91-2798223db0fd,,,abiraterone acetate tablet,Abiraterone Acetate tablet Copay Card Download; Abiraterone Acetate tablet Copay Card Download,1,2024-08-21 09:10:46,2025-03-16 06:58:55
9,ablysinol injection,NEEDY_MEDS,dfe35efd-e012-4f4e-83ce-472af3c93546,,,dehydrated alcohol injection,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
10,abraxane injectable suspension; iv,NEEDY_MEDS,4629c333-8aaf-8548-b671-7f29d16e0168,,,paclitaxel protein-bound particles injectable suspension; iv,Bristol Myers Squibb (BMS) Access Support; Abraxane injectable suspension; iv Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
11,abrilada injection; subcutaneous,NEEDY_MEDS,1368c9e3-7720-da4f-9f60-1e0e73948202,,,adalimumab-afzb injection; subcutaneous,Abrilada injection; subcutaneous Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
12,abrysvo solution; intramuscular injection,NEEDY_MEDS,bdc75a9e-b4c6-49ba-a47c-645d7bb9f4b1,,,respiratory syncytial virus vaccine solution; intramuscular injection,Pfizer RxPathways,1,2024-08-21 09:10:46,2025-03-16 06:58:55
13,absorbine jr. plus pain relieving liquid,NEEDY_MEDS,f14924de-a9c9-9d41-ba88-51ea0a6526d9,,,topical pain reliever,Absorbine Jr. Plus Pain Relieving Liquid Instant Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
14,absorbine jr. pro pain relief cream,NEEDY_MEDS,b7b24504-a65d-4ec4-b108-11fe4d549805,,,lidocaine-phenol,Absorbine Jr. PRO Pain Relief Cream Instant Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
15,absorbine jr. pro pain relief dry spray,NEEDY_MEDS,fcafa31e-8e24-4d46-811e-40e454da33be,,,lidocaine-phenol,Absorbine Jr. PRO Pain Relief Dry Spray Instant Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
16,absorbine jr. pro pain relief roll on,NEEDY_MEDS,bdd62c95-afab-419b-9d6b-20f4fe680d09,,,lidocaine-phenol,Absorbine Jr. PRO Pain Relief Roll On Instant Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
17,absorica capsule,NEEDY_MEDS,0acf28e9-4af8-d949-a793-d1b79e10039e,,,isotretinoin capsule,Absorica capsule Copay Card Sign-up,1,2024-08-21 09:10:46,2025-03-16 06:58:55
18,absorica ld capsule,NEEDY_MEDS,e03efdb9-3b3b-6a4a-8fbc-d7ee55640f02,,,isotretinoin capsule,Absorica LD capsule Copay Card Sign-up,1,2024-08-21 09:10:46,2025-03-16 06:58:55
19,acanya gel; topical,NEEDY_MEDS,b56b2124-ee49-4b07-95a8-0675ca7b5b70,,,clindamycin-benzoyl peroxide gel; topical,Bausch Health Patient Assistance Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
20,acarbose tablet,NEEDY_MEDS,4218f332-89d8-9f4d-8661-ab1b331167fe,,,,Costco Member Prescription Program,1,2024-08-21 09:10:46,2024-08-21 09:10:46
21,accolate tablet,NEEDY_MEDS,7851514a-3001-d748-a07b-9ebde1528aa2,,,zafirlukast tablet,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
